,sdg 1,sdg 2,sdg 3,sdg 4,sdg 5,sdg 6,sdg 7,sdg 8,sdg 9,sdg 10,sdg 11,sdg 12,sdg 13,sdg 14,sdg 15,sdg 16,sdg 17,risk tag,P1,N1,P2,N2,P3,N3,P1_adjusted,N1_adjusted,P2_adjusted,N2_adjusted,P3_adjusted,N3_adjusted
user1,0.0,0.75,0.75,0.5,0.5,1.0,0.0,0.75,0.25,0.0,0.5,1.0,0.75,0.75,0.75,0.75,0.5,1.0,코오롱ENP,애경산업,롯데웰푸드,한화손해보험,우리금융지주,현대엘리베이터,동원산업,애경산업,세아베스틸지주,현대엘리베이터,롯데이노베이트,세방전지
user2,0.0,1.0,0.5,0.5,0.25,0.0,1.0,0.75,0.75,0.5,1.0,0.5,0.5,0.5,0.25,0.0,0.5,0.0,미래에셋증권,애경산업,삼성생명,현대엘리베이터,NH투자증권,HL홀딩스,두산에너빌리티,애경산업,한화,현대엘리베이터,미래에셋증권,하나투어
user3,1.0,0.0,1.0,1.0,0.25,0.75,0.0,0.75,0.75,0.25,0.0,1.0,0.5,1.0,0.75,0.75,0.75,0.0,현대오토에버,애경산업,현대로템,현대엘리베이터,KCC,SK디앤디,삼성중공업,애경산업,LG이노텍,현대엘리베이터,SKC,SK디앤디
user4,0.0,0.25,0.5,0.5,0.0,0.5,0.0,0.75,0.75,1.0,0.75,0.25,1.0,0.5,0.25,1.0,0.25,2.0,삼성증권,한화손해보험,현대엘리베이터,두산퓨얼셀,우리금융지주,HD현대중공업,포스코홀딩스,OCI 홀딩스,JB금융지주,한화손해보험,삼성증권,두산퓨얼셀
user5,0.0,0.5,0.75,0.0,0.5,0.0,0.75,0.5,0.25,0.25,0.5,0.75,1.0,0.5,0.0,1.0,0.75,1.0,제주항공,HD현대중공업,메리츠금융지주,애경산업,SK텔레콤,한화손해보험,코오롱인더,현대오토에버,한세실업,애경케미칼,LG디스플레이,OCI 홀딩스
user6,0.75,0.0,0.25,0.75,1.0,0.5,1.0,1.0,0.25,1.0,0.25,0.25,0.75,0.75,0.0,1.0,0.0,0.0,한화투자증권,애경산업,현대오토에버,현대엘리베이터,JB금융지주,미스토홀딩스,한국가스공사,애경산업,한온시스템,현대엘리베이터,한화투자증권,하나투어
user7,1.0,0.0,0.75,0.75,0.75,0.75,0.5,0.75,0.25,0.75,0.5,0.5,0.5,0.5,0.0,0.0,0.25,2.0,삼성증권,SK스퀘어,NH투자증권,HD현대중공업,아시아나항공,두산,KB금융,두산,대웅제약,SK스퀘어,OCI,OCI 홀딩스
user8,0.0,0.5,0.75,0.75,0.5,1.0,0.5,0.0,0.75,0.5,0.75,0.5,0.5,0.0,0.5,0.75,0.25,1.0,삼성증권,HD현대중공업,NH투자증권,애경산업,JB금융지주,한화손해보험,롯데이노베이트,애경산업,현대비앤지스틸,현대엘리베이터,한화생명,현대오토에버
user9,0.75,0.0,0.25,0.5,1.0,0.25,0.25,0.5,1.0,1.0,0.0,0.25,1.0,0.0,1.0,0.25,1.0,1.0,삼성증권,HD현대중공업,KB금융,두산퓨얼셀,JB금융지주,애경케미칼,KB금융,애경산업,한전KPS,현대엘리베이터,한화생명,SK디앤디
user10,0.25,0.5,0.75,0.0,0.5,0.5,0.75,1.0,0.75,0.5,0.5,0.5,1.0,0.25,0.0,0.25,0.0,0.0,한화투자증권,애경산업,기업은행,현대엘리베이터,SK텔레콤,HD현대중공업,한화,현대엘리베이터,한화투자증권,애경산업,두산에너빌리티,하나투어
user11,0.0,0.0,0.75,0.75,0.75,0.5,0.75,0.0,1.0,0.5,1.0,0.0,0.5,0.75,0.5,0.5,0.0,0.0,삼성생명,애경산업,한화생명,현대엘리베이터,한미글로벌,미스토홀딩스,한화시스템,애경산업,한화투자증권,현대엘리베이터,LS ELCTRIC,미스토홀딩스
user12,0.25,0.25,0.25,0.75,0.75,0.75,0.25,1.0,0.0,0.25,0.0,0.25,1.0,0.25,1.0,0.5,0.75,0.0,현대오토에버,애경산업,KB금융,현대엘리베이터,상상인증권,미스토홀딩스,지역난방공사,현대엘리베이터,한화,애경산업,롯데케미칼,LX하우시스
user13,0.5,0.25,0.75,1.0,0.25,0.75,0.25,0.75,0.75,0.5,0.75,0.25,0.0,0.0,0.5,1.0,0.0,2.0,삼성증권,HD현대중공업,NH투자증권,한화손해보험,우리금융지주,두산퓨얼셀,롯데이노베이트,HD현대중공업,롯데하이마트,OCI 홀딩스,기업은행,한화손해보험
user14,0.5,0.75,0.25,0.75,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.0,0.75,0.5,0.75,0.75,0.5,1.0,우리금융지주,미스토홀딩스,NH투자증권,HD현대중공업,삼성생명,엘앤에프,롯데이노베이트,애경산업,포스코홀딩스,현대엘리베이터,현대위아,한진칼
user15,0.25,0.75,0.0,0.5,0.0,0.75,0.75,0.0,0.75,0.5,0.75,0.0,0.0,0.5,0.0,0.25,0.75,2.0,NH투자증권,한화손해보험,삼성증권,SK스퀘어,현대엘리베이터,LG에너지솔루션,NH투자증권,한화손해보험,롯데이노베이트,SK스퀘어,롯데웰푸드,SK바이오팜
user16,0.0,0.75,0.0,0.0,0.5,0.75,0.0,0.25,1.0,1.0,0.5,0.5,0.25,0.75,0.5,0.25,0.0,0.0,롯데웰푸드,애경산업,포스코홀딩스,현대엘리베이터,KCC,LX세미콘,미래에셋증권,애경산업,현대제철,현대엘리베이터,삼성중공업,하나투어
user17,0.0,1.0,0.5,0.5,0.5,0.75,0.0,0.0,0.25,0.5,0.75,0.5,0.5,1.0,0.0,0.5,0.5,2.0,삼성증권,엘앤에프,현대엘리베이터,한일단조,NH투자증권,두산퓨얼셀,오뚜기,OCI 홀딩스,롯데이노베이트,현대오토에버,롯데웰푸드,두산
user18,0.5,1.0,0.25,1.0,0.25,0.5,0.5,1.0,0.5,0.25,0.0,0.25,1.0,0.0,1.0,0.5,0.0,1.0,NH투자증권,HD현대중공업,기업은행,미스토홀딩스,우리금융지주,HL홀딩스,이마트,카카오페이,롯데이노베이트,현대엘리베이터,KCC,애경산업
user19,0.25,0.5,0.25,0.0,0.75,0.75,0.0,0.25,0.25,0.75,0.75,0.75,1.0,0.75,0.25,0.0,0.75,1.0,롯데웰푸드,LX세미콘,삼성증권,SK스퀘어,우리금융지주,한일단조,세아베스틸지주,애경케미칼,대웅제약,OCI 홀딩스,코오롱인더,한미글로벌
user20,1.0,1.0,0.25,0.25,0.0,0.0,0.5,0.5,0.25,0.25,1.0,0.5,1.0,1.0,0.25,0.25,1.0,1.0,SK텔레콤,한화손해보험,우리금융지주,SK스퀘어,삼성생명,애경케미칼,삼성화재,애경케미칼,이마트,OCI 홀딩스,동원산업,SK바이오팜
user21,0.75,0.25,0.75,0.5,1.0,0.25,1.0,1.0,0.0,0.0,0.5,0.0,0.25,0.5,1.0,1.0,0.0,1.0,하나금융지주,미스토홀딩스,BNK금융,애경산업,KB금융,HD현대중공업,한전KPS,애경산업,현대글로비스,현대엘리베이터,현대위아,미스토홀딩스
